V(Volt),WFR(mm/s),WS(mm/s),NPD(mm),H(mm),P(mm),W(mm)
34,30,6,28,3.438086759,3.754884772,15.02360781
32,22,6,28,2.486337673,4.427744961,13.57669307
33,24,11.5,30,1.539041362,4.485962599,9.693185338
31,17,7,29,2.130720023,4.759841875,12.00255297
36,21,9.5,20,2.10211953,4.658791176,11.7650696
41,23,8.5,27,2.075064265,4.875332575,13.20729123
40,27,11,29,1.817798524,5.184126382,11.1949645
37,28,9,30,2.37624719,4.887651916,12.57450392
31,25,11,26,2.00255591,4.202238733,10.00430669
33,26,5.5,25,3.002711641,3.59183336,15.00261217
38,25,9,28,2.113703569,4.791157815,12.53084643
41,27,11,21,2.064031068,5.966496705,11.91926863
40,24,9,28,2.01863553,4.916547604,12.69315803
31,20,8.5,20,2.263547691,3.955798219,11.83400894
32,19,7.5,25,2.215760375,4.105009036,12.27374319
33,19,8,22,2.224947913,4.014609003,12.20056431
33,17,10.5,27,1.659140255,3.842117503,9.989104958
35,17,10,29,1.74044648,4.276826533,10.26924432
37,30,7.5,29,2.954289075,4.402022658,14.30867781
40,19,10,28,1.859758644,4.678097006,10.87567619
31,30,10.5,30,2.72080819,4.646347373,10.22246274
36,16,5.5,23,2.496467255,3.973446646,13.78011106
32,29,8.5,27,3.036917688,4.243614118,12.2457477
38,25,8.5,23,2.332268515,4.656800917,13.38749375
35,32,7,28,3.601893733,3.89399803,14.5398013
40,17,7,30,2.300764354,5.015305147,12.66032462
37,20,8,28,2.083077286,4.641461124,12.4099484
41,25,8.5,27,2.147067083,4.892035061,13.61838531
31,23,6.5,29,2.509212605,4.60710306,13.08773786
39,19,7,24,2.304483133,4.382592409,13.61380018
35,31,6.5,28,3.473639139,3.829560683,14.93908465
37,25,8.5,26,2.283535444,4.56066103,12.9593441
33,23,7,25,2.489603232,4.085871305,13.32972667
33,32,6.5,23,4.027269202,3.278040696,14.87160139
30,19,11,27,1.505948814,3.717336773,9.776845293
36,18,8,21,2.253429296,4.237409579,12.42759946
40,31,6.5,22,3.180411461,3.936630078,17.15021975
38,23,9.5,28,1.918852993,4.774823924,11.79741604
34,19,10,25,1.833779982,4.08506593,10.66010957
30,19,10,22,1.916195498,3.723198734,10.52712971
36,32,9,27,3.205219397,4.483037008,12.9033774
33,24,10,25,2.090336222,4.320990842,11.01962008
40,22,5,24,2.43672285,3.898433921,16.42537281
31,23,11,29,1.649139148,4.285932293,9.897409711
31,17,6,30,2.233175624,5.137029747,12.55544185
40,20,6.5,22,2.354984801,4.357316977,14.6781757
36,19,5,30,2.362438787,4.944925214,14.24070345
35,27,11,26,2.101573797,4.68196721,10.59279567
36,18,8.5,21,2.196425383,4.275629077,12.02719032
40,21,6,25,2.350612235,4.283756399,15.08962043
36,22,5,21,2.581362041,3.58342579,15.84908788
33,18,5,28,2.40323962,4.592450069,13.77276819
41,31,9,30,2.565865298,5.029430788,13.84365267
38,27,11,23,2.104666429,5.221934874,11.2418134
33,27,6,21,3.180110817,3.46126059,15.04335922
37,26,9,22,2.413150516,4.745234819,12.9335509
38,26,8,23,2.482789103,4.530407272,14.03278604
34,18,6.5,21,2.395332252,3.910437849,13.37000819
40,18,9,28,2.053064044,4.689292041,11.47450505
30,29,11,27,2.624440437,4.328134021,9.778611247
39,28,9,22,2.532126216,5.010356772,13.64383948
30,31,5.5,20,4.328612329,2.700513042,15.07574388
36,30,5.5,29,3.306385874,3.771781778,15.99801114
40,16,8,29,2.289018173,4.771220681,11.70095465
37,32,10.5,30,2.694360003,5.007849386,11.45193634
37,16,5,24,2.5293403,4.03540235,14.20430611
39,23,7,21,2.38889767,4.441670737,14.84059803
31,32,11,26,3.234489334,4.442056454,9.875221007
31,23,11.5,22,1.859114674,4.105583142,9.708061899
34,18,9.5,29,1.779265895,4.412562191,10.70671205
30,16,9,29,1.79164069,4.299844342,10.67948924
38,31,6,27,3.304526008,3.63339588,16.47569932
33,32,5,21,4.252668158,2.493343396,16.6118806
32,28,6.5,26,3.227488472,3.783752039,14.0042073
40,29,10,22,2.444546044,5.480173971,12.96118331
38,23,11.5,26,1.622692465,4.717335963,10.20371735
40,22,9,30,1.906985455,5.037942121,12.16098769
31,32,5.5,30,4.16655225,3.714026629,14.56874173
38,28,6.5,30,2.715159572,4.475050234,15.15975111
32,31,9,29,3.245436889,4.440003659,11.74068726
41,26,6.5,26,2.460881423,4.318050591,15.94620965
38,32,6.5,26,3.451707203,3.675207984,16.19932203
37,17,9,24,2.115568647,4.235301209,11.33160502
41,24,8,23,2.250529825,4.823780883,14.28509611
40,28,9,21,2.503739681,5.254063098,13.97115927
33,22,11,23,1.81776145,4.20280408,10.19253532
37,20,10.5,25,1.78803867,4.405242215,10.61119462
39,28,11,29,1.94211301,5.131178844,11.14096336
30,21,6,22,2.623159728,3.6376145,13.54502628
41,20,6,24,2.364842117,4.318343511,15.10977162
30,24,11.5,21,2.030124648,4.162891243,9.641673365
36,20,6,21,2.440105007,3.94568173,14.51369509
30,28,8.5,22,3.188198572,3.952597472,12.06335831
37,24,11,22,1.920682185,4.967439428,10.84288905
32,32,6.5,26,4.042906061,3.405239985,14.29095907
35,30,7.5,24,3.259596092,3.978831888,14.21107909
38,24,6,23,2.532391913,3.973375966,15.60093475
38,16,7,30,2.298527942,4.978505306,12.23670473
40,16,9,22,2.320830961,4.50026521,11.44771752
36,31,9,29,2.937090109,4.640635859,12.68793677
39,17,11.5,23,1.836722429,4.297646198,9.535767813
35,28,9,28,2.553785261,4.589438205,12.31427744
41,28,6.5,28,2.599148918,4.321248099,16.16169448
40,27,6,28,2.602059123,4.197772192,16.19724187
33,19,6.5,25,2.334076285,4.116113562,13.11488729
30,18,7,20,2.388264618,3.691958562,12.56450634
37,25,6,24,2.637226476,3.894066596,15.4628384
37,19,6,28,2.313682214,4.590395945,13.79276051
34,24,9,29,2.097778863,4.666714959,11.73910763
40,20,6,27,2.327163722,4.488741144,14.60702732
34,20,9.5,28,1.828740121,4.4034128,10.99773253
31,30,8,26,3.442251146,3.967953427,12.54618633
35,32,7,21,3.802569099,3.71024379,15.19002427
41,30,10,23,2.48536898,5.516906494,13.24960395
36,21,5.5,20,2.514772739,3.791306456,15.2747423
35,18,6,22,2.41994421,3.924247086,13.8205025
34,28,8.5,20,2.963969175,4.452665646,13.11188318
41,17,7,21,2.460313323,4.529683093,13.63393483
36,21,6,20,2.480543713,3.943445806,14.82594389
32,29,10.5,20,2.918167096,4.771946685,10.83777172
41,24,7.5,29,2.180139776,4.868072927,14.18283669
30,22,6.5,23,2.626860905,3.75703139,13.21683409
35,26,9.5,21,2.451650069,4.711101778,12.14214431
37,24,7.5,23,2.418453433,4.328618359,13.96395542
37,25,9,22,2.32213353,4.720794274,12.8000733
35,24,8.5,24,2.323968429,4.358392297,12.6199394
36,23,7,21,2.478697192,4.168496889,14.22240886
32,20,6.5,27,2.328083684,4.357391623,12.99683847
35,28,9,21,2.791794698,4.628627918,12.79345025
31,19,9,22,2.086561604,3.869251582,11.28080345
40,24,8.5,25,2.169653943,4.780404635,13.41733942
